時刻,路線,在線,遅延1分以上,遅延5分以上,遅延10分以上,最大遅延,遅延合計,1時間雨量,10分雨量,風速,気温,観測時刻,観測地点
00:00,hokurikubiwako,9,2,1,0,7,8,0.0,0.0,2.4,22.7,23:50,彦根/大津
00:00,kyoto,16,0,0,0,0,0,0.0,0.0,2.9,23.0,23:50,京都/大阪
00:00,nara,3,0,0,0,0,0,0.0,0.0,1.7,22.4,23:50,京都/京田辺
00:00,sagano,2,0,0,0,0,0,0.0,0.0,1.7,22.4,23:50,京都/園部
00:14,hokurikubiwako,8,1,1,0,5,5,0.0,0.0,1.9,22.6,00:00,彦根/大津
00:14,kyoto,9,0,0,0,0,0,0.0,0.0,3.0,22.9,00:00,京都/大阪
00:14,nara,1,0,0,0,0,0,0.0,0.0,1.6,22.2,00:00,京都/京田辺
00:14,sagano,1,0,0,0,0,0,0.0,0.0,1.6,22.2,00:00,京都/園部
00:29,hokurikubiwako,7,1,0,0,4,4,0.0,0.0,2.4,22.6,00:20,彦根/大津
00:29,kyoto,6,0,0,0,0,0,0.0,0.0,2.4,22.7,00:20,京都/大阪
00:29,nara,1,0,0,0,0,0,0.0,0.0,1.6,22.0,00:20,京都/京田辺
00:29,sagano,1,0,0,0,0,0,0.0,0.0,1.6,22.0,00:20,京都/園部
00:42,hokurikubiwako,6,1,0,0,4,4,0.0,0.0,2.4,22.6,00:30,彦根/大津
00:42,kyoto,6,1,0,0,1,1,0.0,0.0,2.6,22.9,00:30,京都/大阪
00:42,nara,0,0,0,0,0,0,0.0,0.0,1.6,22.1,00:30,京都/京田辺
00:42,sagano,0,0,0,0,0,0,0.0,0.0,1.6,22.1,00:30,京都/園部
00:52,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,2.6,22.5,00:40,彦根/大津
00:52,kyoto,3,0,0,0,0,0,0.0,0.0,3.1,22.9,00:40,京都/大阪
00:52,nara,0,0,0,0,0,0,0.0,0.0,1.4,22.2,00:40,京都/京田辺
00:52,sagano,0,0,0,0,0,0,0.0,0.0,1.4,22.2,00:40,京都/園部
00:59,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,2.8,22.4,00:50,彦根/大津
00:59,kyoto,3,0,0,0,0,0,0.0,0.0,3.0,22.7,00:50,京都/大阪
00:59,nara,0,0,0,0,0,0,0.0,0.0,0.8,22.2,00:50,京都/京田辺
00:59,sagano,0,0,0,0,0,0,0.0,0.0,0.8,22.2,00:50,京都/園部
01:14,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,2.9,22.5,01:00,彦根/大津
01:14,kyoto,2,0,0,0,0,0,0.0,0.0,3.2,22.6,01:00,京都/大阪
01:14,nara,0,0,0,0,0,0,0.0,0.0,0.7,22.1,01:00,京都/京田辺
01:14,sagano,0,0,0,0,0,0,0.0,0.0,0.7,22.1,01:00,京都/園部
01:29,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,2.5,22.4,01:20,彦根/大津
01:29,kyoto,2,0,0,0,0,0,0.0,0.0,2.6,22.6,01:20,京都/大阪
01:29,nara,0,0,0,0,0,0,0.0,0.0,1.2,21.9,01:20,京都/京田辺
01:29,sagano,0,0,0,0,0,0,0.0,0.0,1.2,21.9,01:20,京都/園部
01:42,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,2.9,22.5,01:30,彦根/大津
01:42,kyoto,2,0,0,0,0,0,0.0,0.0,3.0,22.5,01:30,京都/大阪
01:42,nara,0,0,0,0,0,0,0.0,0.0,1.6,21.7,01:30,京都/京田辺
01:42,sagano,0,0,0,0,0,0,0.0,0.0,1.6,21.7,01:30,京都/園部
01:52,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,2.6,22.4,01:40,彦根/大津
01:52,kyoto,2,0,0,0,0,0,0.0,0.0,2.5,22.4,01:40,京都/大阪
01:52,nara,0,0,0,0,0,0,0.0,0.0,1.6,21.7,01:40,京都/京田辺
01:52,sagano,0,0,0,0,0,0,0.0,0.0,1.6,21.7,01:40,京都/園部
04:09,hokurikubiwako,4,1,1,1,18,18,0.0,0.0,1.7,20.9,04:00,彦根/大津
04:09,kyoto,2,0,0,0,0,0,0.0,0.0,1.3,21.6,04:00,京都/大阪
04:09,nara,0,0,0,0,0,0,0.0,0.0,1.7,20.8,04:00,京都/京田辺
04:09,sagano,0,0,0,0,0,0,0.0,0.0,1.2,20.8,04:00,京都/園部
04:21,hokurikubiwako,4,1,1,1,19,19,0.0,0.0,2.8,21.9,04:10,彦根/大津
04:21,kyoto,3,1,1,1,19,19,0.0,0.0,0.9,21.3,04:10,京都/大阪
04:21,nara,0,0,0,0,0,0,0.0,0.0,1.2,20.9,04:10,京都/京田辺
04:21,sagano,0,0,0,0,0,0,0.0,0.0,0.9,20.9,04:10,京都/園部
04:31,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.7,21.0,04:20,彦根/大津
04:31,kyoto,3,1,1,1,19,19,0.0,0.0,1.1,21.2,04:20,京都/大阪
04:31,nara,0,0,0,0,0,0,0.0,0.0,1.1,20.8,04:20,京都/京田辺
04:31,sagano,0,0,0,0,0,0,0.0,0.0,1.5,20.8,04:20,京都/園部
04:42,hokurikubiwako,3,0,0,0,0,0,0.0,0.0,1.5,20.8,04:30,彦根/大津
04:42,kyoto,3,1,1,1,18,18,0.0,0.0,1.7,21.3,04:30,京都/大阪
04:42,nara,0,0,0,0,0,0,0.0,0.0,0.8,20.8,04:30,京都/京田辺
04:42,sagano,1,0,0,0,0,0,0.0,0.0,1.2,20.8,04:30,京都/園部
04:51,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.4,20.7,04:40,彦根/大津
04:51,kyoto,3,1,1,1,17,17,0.0,0.0,2.0,21.1,04:40,京都/大阪
04:51,nara,0,0,0,0,0,0,0.0,0.0,1.2,20.7,04:40,京都/京田辺
04:51,sagano,1,0,0,0,0,0,0.0,0.0,1.1,20.7,04:40,京都/園部
04:58,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,0.8,20.9,04:50,彦根/大津
04:58,kyoto,6,0,0,0,0,0,0.0,0.0,1.8,21.2,04:50,京都/大阪
04:58,nara,1,0,0,0,0,0,0.0,0.0,1.8,20.6,04:50,京都/京田辺
04:58,sagano,1,0,0,0,0,0,0.0,0.0,1.8,20.6,04:50,京都/園部
05:11,hokurikubiwako,4,0,0,0,0,0,0.0,0.0,1.1,20.9,05:00,彦根/大津
05:11,kyoto,7,0,0,0,0,0,0.0,0.0,2.8,21.3,05:00,京都/大阪
05:11,nara,1,0,0,0,0,0,0.0,0.0,0.9,20.6,05:00,京都/京田辺
05:11,sagano,1,0,0,0,0,0,0.0,0.0,0.9,20.6,05:00,京都/園部
05:27,hokurikubiwako,8,0,0,0,0,0,0.0,0.0,0.9,20.9,05:10,彦根/大津
05:27,kyoto,11,0,0,0,0,0,0.0,0.0,2.3,21.4,05:10,京都/大阪
05:27,nara,1,0,0,0,0,0,0.0,0.0,1.4,20.4,05:10,京都/京田辺
05:27,sagano,0,0,0,0,0,0,0.0,0.0,1.4,20.4,05:10,京都/園部
05:39,hokurikubiwako,10,0,0,0,0,0,0.0,0.0,1.2,20.7,05:30,彦根/大津
05:39,kyoto,15,0,0,0,0,0,0.0,0.0,2.2,21.6,05:30,京都/大阪
05:39,nara,3,0,0,0,0,0,0.0,0.0,0.9,20.4,05:30,京都/京田辺
05:39,sagano,2,0,0,0,0,0,0.0,0.0,1.6,20.4,05:30,京都/園部
05:51,hokurikubiwako,16,0,0,0,0,0,0.0,0.0,1.8,20.6,05:40,彦根/大津
05:51,kyoto,18,0,0,0,0,0,0.0,0.0,2.2,21.2,05:40,京都/大阪
05:51,nara,2,0,0,0,0,0,0.0,0.0,1.8,20.2,05:40,京都/京田辺
05:51,sagano,3,0,0,0,0,0,0.0,0.0,1.8,20.2,05:40,京都/園部
05:58,hokurikubiwako,16,1,0,0,1,1,0.0,0.0,2.5,20.7,05:50,彦根/大津
05:58,kyoto,18,0,0,0,0,0,0.0,0.0,2.5,21.3,05:50,京都/大阪
05:58,nara,4,0,0,0,0,0,0.0,0.0,1.1,20.5,05:50,京都/京田辺
05:58,sagano,2,0,0,0,0,0,0.0,0.0,1.1,20.5,05:50,京都/園部
06:10,hokurikubiwako,22,1,0,0,1,1,0.0,0.0,2.1,20.6,06:00,彦根/大津
06:10,kyoto,18,0,0,0,0,0,0.0,0.0,1.8,21.3,06:00,京都/大阪
