時刻,路線,列車番号,種別,行先,方向,位置,遅延分,号車:乗車率:状態:温度
00:07,hokurikubiwako,840T,普通,米原,0,稲枝〜能登川,0,1:3:1:23;2:0:1:23;3:0:1:23;4:0:1:22;5:0:1:23;6:7:1:24;7:6:1:23;8:0:1:26;9:8:1:23;10:8:1:22;11:0:1:24;12:18:1:22
00:07,hokurikubiwako,842T,普通,米原,0,守山〜栗東,0,1:0:1:23;2:0:1:24;3:0:1:21;4:6:1:22;5:5:1:24;6:4:1:23;7:11:1:23;8:20:1:24;9:14:1:23;10:14:1:23;11:15:1:24;12:1:1:23
00:07,hokurikubiwako,3544M,新快速,野洲,0,南草津〜瀬田,0,1:6:1:21;2:0:1:23;3:8:1:22;4:7:1:22;5:16:1:23;6:20:1:22;7:16:1:23;8:22:1:22;9:16:1:23;10:15:1:23;11:13:1:22;12:9:1:23
00:07,hokurikubiwako,844T,普通,野洲,0,膳所駅,0,1:7:1:25;2:10:1:27;3:6:1:25;4:6:1:25;5:20:1:25;6:15:1:25;7:10:1:27;8:6:1:25
00:07,hokurikubiwako,923M,普通,京都,1,山科駅,0,1:0:1:22;2:1:1:23;3:7:1:22;4:9:1:23;5:3:1:23;6:10:1:23;7:0:1:23;8:2:1:23;9:0:1:24;10:0:1:25;11:0:1:24;12:4:1:24
00:07,kyoto,846T,普通,野洲,0,向日町〜長岡京,1,1:12:1:25;2:14:1:26;3:16:1:25;4:24:1:25;5:26:1:25;6:19:1:25;7:34:1:26;8:28:1:25
00:07,kyoto,254C,普通,高槻,0,摂津富田駅,0,1:11:1:24;2:4:1:24;3:4:1:24;4:7:1:25;5:3:1:25;6:12:1:25;7:8:1:24
00:07,kyoto,533C,普通,大阪,1,千里丘〜岸辺,0,1:5:1:25;2:2:1:26;3:2:1:24;4:6:1:24;5:3:1:25;6:1:1:25;7:11:1:24
00:07,kyoto,256C,普通,京都,0,岸辺駅,0,1:22:1:25;2:24:1:25;3:14:1:24;4:16:1:24;5:31:1:24;6:36:1:24;7:9:1:24
00:07,kyoto,3548M,新快速,京都,0,吹田〜東淀川,0,1:27:1:25;2:12:1:27;3:16:1:25;4:28:1:25;5:21:1:25;6:28:1:25;7:27:1:27;8:17:1:25;9:25:1:25;10:21:1:26;11:19:1:25;12:14:1:24
00:07,kyoto,258C,普通,高槻,0,大阪駅,0,1:23:1:24;2:16:1:26;3:23:1:25;4:38:1:26;5:33:1:26;6:46:1:26;7:46:1:25
00:07,kyoto,263C,普通,西明石,1,塚本駅,0,1:50:1:24;2:42:1:23;3:68:1:23;4:85:1:25;5:56:1:23;6:45:1:24;7:60:1:23
00:07,kyoto,1234C,普通,大阪,0,塚本駅,0,1:1:1:24;2:0:1:24;3:4:1:24;4:6:1:24;5:2:1:24;6:1:1:24;7:1:1:24
00:07,sagano,285M,普通,園部,1,吉富駅,0,1:5:1:23;2:2:1:24;3:29:1:23;4:21:1:22
00:07,sagano,287M,普通,園部,1,保津峡駅,0,1:29:1:23;2:24:1:25;3:23:1:23;4:14:1:22
00:22,hokurikubiwako,840T,普通,米原,0,米原〜彦根,0,1:6:1:23;2:0:1:24;3:0:1:23;4:3:1:22;5:0:1:24;6:4:1:23;7:0:1:23;8:0:1:26;9:10:1:22;10:8:1:22;11:0:1:24;12:16:1:22
00:22,hokurikubiwako,842T,普通,米原,0,安土駅,0,1:0:1:22;2:0:1:24;3:0:1:21;4:5:1:23;5:9:1:24;6:12:1:23;7:10:1:23;8:15:1:24;9:10:1:23;10:12:1:22;11:5:1:24;12:0:1:22
00:22,hokurikubiwako,844T,普通,野洲,0,草津駅,0,1:0:1:26;2:4:1:27;3:0:1:25;4:7:1:25;5:6:1:25;6:4:1:25;7:3:1:27;8:2:1:25
00:22,hokurikubiwako,846T,普通,野洲,0,山科〜京都,2,1:19:1:25;2:18:1:26;3:23:1:25;4:28:1:25;5:34:1:25;6:41:1:25;7:42:1:26;8:24:1:25
00:22,kyoto,3548M,新快速,京都,0,長岡京〜山崎,0,1:8:1:25;2:6:1:27;3:8:1:25;4:20:1:25;5:12:1:25;6:14:1:25;7:23:1:27;8:11:1:25;9:8:1:25;10:12:1:27;11:10:1:25;12:14:1:24
00:22,kyoto,535C,普通,大阪,1,山崎駅,8,1:28:1:24;2:23:1:26;3:31:1:23;4:32:1:22;5:8:1:23;6:22:1:22;7:22:1:22
00:22,kyoto,258C,普通,高槻,0,岸辺駅,0,1:22:1:24;2:24:1:26;3:24:1:25;4:39:1:26;5:32:1:25;6:31:1:26;7:28:1:24
00:22,kyoto,540C,普通,大阪,0,塚本駅,0,1:19:1:22;2:14:1:22;3:39:1:22;4:17:1:21;5:4:1:22;6:8:1:22;7:24:1:22
00:22,kyoto,256C,普通,京都,0,島本〜高槻,0,1:21:1:24;2:22:1:25;3:13:1:25;4:9:1:25;5:11:1:25;6:12:1:24;7:11:1:23
00:22,sagano,287M,普通,園部,1,千代川〜八木,0,1:10:1:22;2:0:1:25;3:1:1:23;4:9:1:22
00:35,hokurikubiwako,842T,普通,米原,0,河瀬駅,0,1:0:1:23;2:0:1:23;3:0:1:21;4:2:1:23;5:3:1:25;6:2:1:23;7:3:1:23;8:12:1:24;9:7:1:23;10:8:1:23;11:7:1:24;12:0:1:23
00:35,hokurikubiwako,846T,普通,野洲,0,石山駅,1,1:14:1:25;2:16:1:27;3:26:1:25;4:36:1:25;5:30:1:25;6:27:1:25;7:26:1:26;8:11:1:25
00:35,kyoto,256C,普通,京都,0,向日町駅,0,1:4:1:25;2:8:1:25;3:4:1:25;4:4:1:24;5:5:1:25;6:3:1:25;7:4:1:23
00:35,kyoto,258C,普通,高槻,0,高槻〜摂津富田,0,1:13:1:24;2:5:1:27;3:4:1:25;4:6:1:25;5:2:1:26;6:5:1:26;7:8:1:24
00:35,kyoto,535C,普通,大阪,1,ＪＲ総持寺駅,9,1:24:1:24;2:22:1:26;3:30:1:22;4:32:1:23;5:7:1:23;6:21:1:22;7:23:1:22
