時刻,路線,列車番号,種別,行先,方向,位置,遅延分,号車:乗車率:状態:温度
00:14,hokurikubiwako,840T,普通,米原,0,河瀬駅,0,1:1:1:23:;2:6:1:24:3;3:5:1:23:;4:9:1:23:;5:13:1:24:;6:8:1:23:;7:9:1:23:3;8:10:1:23:
00:14,hokurikubiwako,842T,普通,米原,0,篠原〜野洲,1,1:24:1:25:;2:13:1:27:3;3:23:1:25:;4:26:1:25:;5:32:1:27:3;6:23:1:25:;7:39:1:24:;8:22:1:26:3;9:12:1:24:;10:9:1:22:
00:14,hokurikubiwako,3544M,新快速,野洲,0,瀬田〜石山,8,1:8:1:25:;2:12:1:27:3;3:22:1:25:;4:21:1:25:;5:30:1:25:;6:45:1:25:;7:37:1:26:3;8:47:1:24:;9:28:1:23:;10:16:1:24:3;11:24:1:23:;12:18:1:23:
00:14,hokurikubiwako,844T,普通,野洲,0,膳所駅,5,1:7:1:25:;2:13:1:27:3;3:19:1:25:;4:23:1:25:;5:36:1:23:;6:21:1:24:3;7:8:1:23:;8:12:1:23:
00:14,hokurikubiwako,3546M,新快速,野洲,0,京都〜西大路,5,1:25:1:24:;2:16:1:24:3;3:28:1:23:;4:27:1:24:;5:34:1:24:;6:33:1:23:;7:42:1:24:3;8:55:1:24:;9:37:1:24:;10:22:1:27:3;11:26:1:23:;12:23:1:23:
00:14,hokurikubiwako,846T,普通,野洲,0,西大路駅,0,1:10:1:25:;2:9:1:27:3;3:13:1:26:;4:14:1:25:;5:12:1:25:;6:7:1:25:;7:15:1:27:3;8:14:1:25:
00:14,kyoto,535C,普通,大阪,1,山崎駅,0,1:42:1:22:;2:34:1:22:3;3:49:1:22:;4:60:1:24:;5:20:1:23:4;6:41:1:24:3;7:37:1:22:
00:14,kyoto,3548M,新快速,京都,0,高槻〜摂津富田,0,1:29:1:25:;2:20:1:27:3;3:26:1:26:;4:43:1:25:;5:33:1:26:;6:33:1:25:;7:39:1:27:3;8:38:1:25:;9:56:1:25:;10:48:1:26:3;11:55:1:25:;12:38:1:25:
00:14,kyoto,538C,普通,京都,0,茨木駅,0,1:63:1:21:;2:61:1:23:3;3:56:1:23:;4:71:1:23:;5:56:1:23:4;6:67:1:23:3;7:51:1:23:
00:14,kyoto,533C,普通,大阪,1,東淀川駅,0,1:15:1:22:;2:1:1:23:3;3:16:1:24:;4:18:1:23:;5:0:1:21:4;6:16:1:22:3;7:18:1:23:
00:14,kyoto,258C,普通,高槻,0,新大阪〜大阪,0,1:-1:1:-1:;2:-1:1:-1:;3:-1:1:-1:;4:109:1:25:;5:86:1:27:4;6:112:1:27:3;7:128:1:26:
00:14,kyoto,1234C,普通,大阪,0,大阪〜塚本,0,1:3:1:24:;2:1:1:25:3;3:3:1:23:;4:9:1:24:;5:5:1:24:4;6:6:1:25:3;7:7:1:25:
00:28,hokurikubiwako,842T,普通,米原,0,能登川駅,0,1:7:1:25:;2:9:1:27:3;3:6:1:25:;4:11:1:25:;5:12:1:26:3;6:18:1:25:;7:27:1:23:;8:13:1:26:3;9:6:1:22:;10:3:1:23:
00:28,hokurikubiwako,844T,普通,野洲,0,栗東〜草津,3,1:0:1:25:;2:1:1:27:3;3:4:1:24:;4:10:1:25:;5:16:1:23:;6:12:1:24:3;7:4:1:22:;8:13:1:23:
00:28,hokurikubiwako,3546M,新快速,野洲,0,石山駅,3,1:20:1:23:;2:14:1:24:3;3:23:1:23:;4:19:1:24:;5:39:1:25:;6:38:1:24:;7:33:1:24:3;8:39:1:23:;9:18:1:24:;10:14:1:26:3;11:13:1:24:;12:10:1:22:
00:28,hokurikubiwako,846T,普通,野洲,0,大津駅,1,1:21:1:25:;2:9:1:27:3;3:25:1:25:;4:25:1:25:;5:21:1:25:;6:14:1:25:;7:18:1:27:3;8:17:1:24:
00:28,hokurikubiwako,3548M,新快速,京都,0,京都〜西大路,0,1:0:1:25:;2:0:1:28:3;3:14:1:26:;4:19:1:26:;5:13:1:26:;6:5:1:26:;7:14:1:27:3;8:14:1:26:;9:17:1:25:;10:18:1:27:3;11:28:1:25:;12:20:1:25:
00:28,kyoto,846T,普通,野洲,0,不明(0400_0401),1,1:21:1:25:;2:9:1:27:3;3:25:1:25:;4:25:1:25:;5:21:1:25:;6:14:1:25:;7:18:1:27:3;8:17:1:24:
00:28,kyoto,538C,普通,京都,0,山崎駅,0,1:34:1:22:;2:29:1:21:3;3:47:1:23:;4:46:1:22:;5:20:1:22:4;6:36:1:22:3;7:47:1:22:
00:28,kyoto,535C,普通,大阪,1,茨木駅,0,1:35:1:22:;2:42:1:22:3;3:39:1:23:;4:68:1:24:;5:22:1:22:4;6:34:1:23:3;7:37:1:23:
00:28,kyoto,258C,普通,高槻,0,茨木駅,1,1:54:1:22:;2:66:1:24:3;3:64:1:23:;4:78:1:24:;5:47:1:25:4;6:51:1:25:3;7:47:1:25:
00:40,hokurikubiwako,842T,普通,米原,0,彦根駅,0,1:7:1:25:;2:6:1:27:3;3:3:1:25:;4:4:1:25:;5:4:1:27:3;6:7:1:25:;7:13:1:23:;8:1:1:26:3;9:0:1:23:;10:2:1:23:
00:40,hokurikubiwako,3546M,新快速,野洲,0,守山〜栗東,3,1:0:1:23:;2:0:1:24:3;3:4:1:24:;4:2:1:24:;5:10:1:24:;6:11:1:24:;7:12:1:24:3;8:21:1:24:;9:5:1:24:;10:0:1:26:3;11:0:1:23:;12:0:1:22:
00:40,hokurikubiwako,846T,普通,野洲,0,草津〜南草津,0,1:8:1:25:;2:5:1:27:3;3:12:1:25:;4:10:1:25:;5:5:1:25:;6:11:1:26:;7:4:1:27:3;8:7:1:25:
00:40,hokurikubiwako,538C,普通,京都,0,西大路駅,2,1:21:1:21:;2:22:1:22:3;3:29:1:22:;4:12:1:22:;5:1:1:22:4;6:17:1:22:3;7:21:1:23:
